pair_id,story_a_id,story_b_id,ok,error,num_events_a,num_events_b,num_matches,D_alignment,alignment_similarity,D_semantic,semantic_similarity,pred_event_rating_mean_joint
89d67r__77pd29,89d67r,77pd29,True,,3,3,1,0.6666666666666666,0.33333333333333337,0.21480783820152283,0.7851921617984772,2.3836576265702645
4m8ecl__745tpx,4m8ecl,745tpx,True,,3,1,0,1.0,0.0,1.0,0.0,1.583
14xeqc__6zdn9g,14xeqc,6zdn9g,True,,2,1,0,1.0,0.0,1.0,0.0,1.583
31mptn__3kuqis,31mptn,3kuqis,True,,2,2,0,1.0,0.0,1.0,0.0,1.583
8iq3ls__6w7mzq,8iq3ls,6w7mzq,True,,4,2,1,0.6666666666666666,0.33333333333333337,0.22811421751976013,0.7718857824802399,2.3712307989249624
9bzxow__95rq1u,9bzxow,95rq1u,True,,4,5,0,1.0,0.0,1.0,0.0,1.583
4e3hnz__62bm6z,4e3hnz,62bm6z,True,,1,5,0,1.0,0.0,1.0,0.0,1.583
6d9vo5__8y5mod,6d9vo5,8y5mod,True,,3,4,0,1.0,0.0,1.0,0.0,1.583
68w90z__9w2z8b,68w90z,9w2z8b,True,,8,1,0,1.0,0.0,1.0,0.0,1.583
1sejfc__1ofvyh,1sejfc,1ofvyh,True,,3,1,0,1.0,0.0,1.0,0.0,1.583
9n9qs4__97aht3,9n9qs4,97aht3,True,,3,1,0,1.0,0.0,1.0,0.0,1.583
9x00c3__8oidt5,9x00c3,8oidt5,True,,9,7,0,1.0,0.0,1.0,0.0,1.583
917k02__5ay2eo,917k02,5ay2eo,True,,4,5,1,0.7777777777777778,0.2222222222222222,0.5138115528970957,0.4861884471029043,2.0819625018605135
3jlyls__3thrfp,3jlyls,3thrfp,True,,8,7,0,1.0,0.0,1.0,0.0,1.583
w8jwe__3s6jaa,w8jwe,3s6jaa,True,,5,8,0,1.0,0.0,1.0,0.0,1.583
77keyf__6p5lhk,77keyf,6p5lhk,True,,2,2,0,1.0,0.0,1.0,0.0,1.583
fvisl__4sku5w,fvisl,4sku5w,True,,2,2,0,1.0,0.0,1.0,0.0,1.583
78ce5q__99i9ic,78ce5q,99i9ic,True,,5,4,0,1.0,0.0,1.0,0.0,1.583
